104.214.104.116:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE  104.214.104.116:443
104.214.104.116:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE PROC_CREATE SVCHOST.EXE
104.214.104.116:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE SETTINGS.DAT READ_WRITE
104.214.104.116:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE PROC_CREATE BACKGROUNDTASKHOST.EXE PROC_CREATE SVCHOST.EXE
BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE SETTINGS.DAT READ_WRITE
52.184.215.140:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE SETTINGS.DAT READ_WRITE
104.214.104.116:443 READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE E71E1300703D5395820E448840A760F0DD25AD50.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE F1F6256036FD56A86117C72E348DBBD5D47D8D8E.TBRES READ_WRITE BACKGROUNDTASKHOST.EXE READ_WRITE SETTINGS.DAT READ_WRITE
SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  104.100.149.44:443
SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  13.107.42.12:443
SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  72.21.91.29:80
