JAVA.EXE READ_WRITE  172.16.157.129:443
JAVA.EXE READ_WRITE  8.250.197.254:80
NOTEPAD.EXE READ_WRITE  8.250.197.254:80
NOTEPAD.EXE READ_WRITE  172.16.57.134:1434
NOTEPAD.EXE READ_WRITE  172.16.57.134:1433
NOTEPAD.EXE READ_WRITE  172.16.57.132:445
OUTLOOK.EXE READ_WRITE  172.16.57.133:143
HTTPS0_172 16 157 129 .XLS READ_WRITE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
NOTEPAD.EXE PROC_CREATE JAVA.EXE READ_WRITE  172.16.157.129:443
NOTEPAD.EXE PROC_CREATE JAVA.EXE READ_WRITE  8.250.197.254:80
EXCEL.EXE PROC_CREATE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
EXCEL.EXE READ_WRITE HTTPS0_172 16 157 129 .XLS READ_WRITE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
394C85FE.XLS:ZONE.IDENTIFIER:$DATA READ_WRITE EXCEL.EXE PROC_CREATE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
394C85FE.XLS:ZONE.IDENTIFIER:$DATA READ_WRITE EXCEL.EXE READ_WRITE HTTPS0_172 16 157 129 .XLS READ_WRITE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
JAVA.EXE PROC_CREATE EXCEL.EXE PROC_CREATE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
JAVA.EXE READ_WRITE EXCEL.EXE PROC_CREATE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
EXCEL.EXE PROC_CREATE EXCEL.EXE PROC_CREATE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
JAVA.EXE PROC_CREATE EXCEL.EXE READ_WRITE HTTPS0_172 16 157 129 .XLS READ_WRITE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
JAVA.EXE READ_WRITE EXCEL.EXE READ_WRITE HTTPS0_172 16 157 129 .XLS READ_WRITE OUTLOOK.EXE READ_WRITE  172.16.57.133:143
NOTEPAD.EXE READ_WRITE  172.16.157.129:443
